"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
"record_id","tb_screening","Baseline screening (the reference form — no rules of its own)","text","Record ID","","Auto-assigned. Enrol on this form FIRST — every other form compares against it.","","","","","","","","","","",""
"scr_participant_id","tb_screening","","text","Participant ID (study code)","","e.g. TB-2026-0042. The Diagnosis form makes you retype this and must match.","","","","","","","","","","",""
"scr_screen_date","tb_screening","","text","Screening date","","The first date in the chain. Every later date must be on or after this one.","date_ymd","","","","","","","","","",""
"scr_age","tb_screening","","text","Age (years)","","Whole years. The Diagnosis form re-asks this and must match exactly (numeric).","integer","0","120","","","","","","","",""
"scr_sex","tb_screening","","radio","Sex","1, Male | 2, Female","","","","","","","","","","","",""
"scr_weight_kg","tb_screening","","text","Baseline weight (kg)","","Decimal allowed, e.g. 54.5. The Outcome form compares final weight against this.","number","1","300","","","","","","","",""
"scr_hiv_status","tb_screening","","radio","HIV status","1, Positive | 2, Negative | 3, Unknown","Set this to Positive to switch ON the conditional rules on Diagnosis and Treatment.","","","","","","","","","","",""
"scr_site","tb_screening","","dropdown","Screening site","1, Bamenda Regional Hospital | 2, Douala Laquintinie | 3, Yaounde Jamot","Coded value. Treatment site must match this — shows that CODED fields compare on the CODE.","","","","","","","","","","",""
"scr_max_daily_dose","tb_screening","","text","Protocol maximum daily dose (mg)","","e.g. 600. The Treatment form refuses a dose above this — a numeric cross-form ceiling.","number","0","5000","","","","","","","",""
"scr_consent","tb_screening","","yesno","Consent given?","","Yes switches on the conditional (when-gated) rule on the Treatment form.","","","","","","","","","","",""
"scr_ctrl_min","tb_screening","Same-form control (always live — your baseline for comparison)","text","CONTROL — local minimum","","Type any number, e.g. 10. The field below is checked against THIS one, on the same form.","number","","","","","","","","","",""
"scr_ctrl_val","tb_screening","","text","CONTROL — must be >= the local minimum","","Both fields are on THIS form, so this check is always live as you type, whatever the module version or your rights. Compare its behaviour with the cross-form fields.","number","","","","","","","","","","@UVASSERT={""assert"":""[scr_ctrl_val]>=[scr_ctrl_min]"",""message"":""Below the local minimum (same-form control)"",""blockSave"":""hard""}"
"dx_participant_id_confirm","tb_diagnosis","Identity check — TEXT equality across forms","text","Re-enter the Participant ID","","Must equal scr_participant_id on the Screening form. Text compares exactly (case and punctuation included).","","","","","","","","","","","@UVASSERT={""assert"":""[dx_participant_id_confirm]=[scr_participant_id]"",""message"":""Does not match the Participant ID recorded at screening"",""blockSave"":""hard""}"
"dx_age_confirm","tb_diagnosis","","text","Re-enter age (years)","","Must equal scr_age. Both sides look numeric, so this is a NUMERIC comparison — 007 and 7 are equal here, unlike the text field above.","integer","0","120","","","","","","","","@UVASSERT={""assert"":""[dx_age_confirm]=[scr_age]"",""message"":""Does not match the age recorded at screening"",""blockSave"":""hard""}"
"dx_specimen_date","tb_diagnosis","Date chain — must not run backwards","text","Specimen collection date","","Must be on or after the SCREENING date (a different form).","date_ymd","","","","","","","","","","@UVASSERT={""assert"":""[dx_specimen_date]>=[scr_screen_date]"",""message"":""Specimen cannot be collected before the screening date"",""blockSave"":""hard""}"
"dx_result_date","tb_diagnosis","","text","Result date","","Must be on or after the specimen date — both on THIS form, so this one is always live. Contrast it with the field above.","date_ymd","","","","","","","","","","@UVASSERT={""assert"":""[dx_result_date]>=[dx_specimen_date]"",""message"":""Result cannot predate the specimen collection"",""blockSave"":""hard""}"
"dx_xpert_result","tb_diagnosis","Laboratory","radio","Xpert MTB/RIF result","1, MTB detected | 2, MTB not detected | 3, Error / Invalid","","","","","","","","","","","",""
"dx_smear_grade","tb_diagnosis","","dropdown","Smear microscopy grade","0, Negative | 1, Scanty | 2, 1+ | 3, 2+ | 4, 3+","","","","","","","","","","","",""
"dx_cd4","tb_diagnosis","Conditional rule — only enforced for HIV-positive participants","text","CD4 count (cells/mm3)","","Only checked when scr_hiv_status = Positive on the Screening form. A CD4 of 0 is refused as implausible while that gate is on; set HIV status to Negative and the rule goes inert.","integer","0","5000","","","","","","","","@UVASSERT={""assert"":""[dx_cd4]>'0'"",""when"":""[scr_hiv_status]='1'"",""message"":""A CD4 count is implausible for an HIV-positive participant"",""blockSave"":""off""}"
"tx_start_date","tb_treatment","Date chain — spans TWO forms back","text","Treatment start date","","Must be on or after the RESULT date on the Diagnosis form.","date_ymd","","","","","","","","","","@UVASSERT={""assert"":""[tx_start_date]>=[dx_result_date]"",""message"":""Treatment cannot start before the diagnosis result date"",""blockSave"":""hard""}"
"tx_regimen","tb_treatment","","dropdown","Regimen","1, 2HRZE/4HR (new) | 2, Retreatment | 3, MDR-TB regimen","","","","","","","","","","","",""
"tx_daily_dose_mg","tb_treatment","Numeric ceiling — set on the Screening form","text","Daily dose (mg)","","Must not exceed scr_max_daily_dose, recorded two forms back. Decimal comparison.","number","0","5000","","","","","","","","@UVASSERT={""assert"":""[tx_daily_dose_mg]<=[scr_max_daily_dose]"",""message"":""Daily dose exceeds the protocol maximum recorded at screening"",""blockSave"":""hard""}"
"tx_site","tb_treatment","Coded value — compares on the CODE, not the label","dropdown","Treatment site","1, Bamenda Regional Hospital | 2, Douala Laquintinie | 3, Yaounde Jamot","Must match the screening site. Codes are compared (1/2/3), so relabelling a choice does not change the rule.","","","","","","","","","","","@UVASSERT={""assert"":""[tx_site]=[scr_site]"",""message"":""Treatment site differs from the screening site"",""blockSave"":""off""}"
"tx_art_started","tb_treatment","Conditional rule — gated on a field two forms back","yesno","ART started?","","Only enforced once consent is Yes AND HIV status is Positive on the Screening form. Flip either and the rule goes inert.","","","","","","","","","","","@UVASSERT={""assert"":""[tx_art_started]='1'"",""when"":""[scr_consent]='1' and [scr_hiv_status]='1'"",""message"":""ART must be started for a consented HIV-positive participant"",""blockSave"":""off""}"
"tx_ctrl_floor","tb_treatment","Same-form control (always live)","text","CONTROL — local floor","","Type any number. The field below is checked against THIS one, on the same form.","number","","","","","","","","","",""
"tx_ctrl_val","tb_treatment","","text","CONTROL — must be >= the local floor","","Always live as you type — the comparison never leaves this page.","number","","","","","","","","","","@UVASSERT={""assert"":""[tx_ctrl_val]>=[tx_ctrl_floor]"",""message"":""Below the local floor (same-form control)"",""blockSave"":""hard""}"
"out_end_date","tb_outcome","Final link in the date chain","text","Treatment end date","","Must be on or after the treatment start date on the Treatment form.","date_ymd","","","","","","","","","","@UVASSERT={""assert"":""[out_end_date]>=[tx_start_date]"",""message"":""Treatment cannot end before it started"",""blockSave"":""hard""}"
"out_result","tb_outcome","","dropdown","Treatment outcome","1, Cured | 2, Treatment completed | 3, Treatment failed | 4, Died | 5, Lost to follow-up","","","","","","","","","","","",""
"out_final_weight_kg","tb_outcome","Numeric comparison against the baseline, only for a cure","text","Final weight (kg)","","Only checked when the outcome is Cured: a cured participant is not expected to weigh less than at screening. Warning only — it never blocks the save.","number","1","300","","","","","","","","@UVASSERT={""assert"":""[out_final_weight_kg]>=[scr_weight_kg]"",""when"":""[out_result]='1'"",""message"":""A cured participant weighs less than at screening — please confirm"",""blockSave"":""off""}"
"out_id_confirm","tb_outcome","","text","Re-enter the Participant ID (final check)","","Must equal the Participant ID from Screening — the same text check as on Diagnosis, but now three forms away.","","","","","","","","","","","@UVASSERT={""assert"":""[out_id_confirm]=[scr_participant_id]"",""message"":""Does not match the Participant ID recorded at screening"",""blockSave"":""hard""}"
